accuracy,law
0.9746062992125984,诉讼法
0.918503937007874,交通安全法
0.8111220472440945,侵权责任法
0.7361220472440945,关于审理道路交通事故损害赔偿案件适用法律若干问题
0.6476377952755905,关于审理人身损害赔偿案件
0.48720472440944884,保险法
0.390255905511811,机动车交通事故责任强制保险条例
0.8724409448818897,关于确定民事侵权精神损害赔偿责任若干问题
0.8921259842519685,民法通则
0.9860236220472441,食品安全法
0.9571850393700787,民事诉讼
0.9596456692913385,最高人民法院关于适用的解释
0.9688976377952756,合同法
0.96998031496063,机动车交通事故责任强制保险条款
0.989271653543307,最高人民法院关于审理食品药品纠纷案件适用法律若干问题的规定
0.9916338582677166,产品质量法
0.9914370078740158,诉讼费用交纳办法
0.9936023622047244,民法总则
0.9949803149606299,关于审理道路交通事故损害赔偿案件若干问题的解释
0.9953740157480315,消费者权益保护法
