index,word,region,area,province
1,重庆市,西南,西区,重庆市
2,郑州市,鲁豫,东区,河南
3,成都市,西南,西区,四川
4,上海市,苏皖沪,东区,上海市
5,苏州市,苏皖沪,东区,江苏
6,东莞市,华南,南区,广东
7,广州市,华南,南区,广东
8,长沙市,湘鄂,南区,湖南
9,保定市,华北,北区,河北
10,西安市,西北,西区,陕西
11,温州市,浙闽赣,东区,浙江
12,杭州市,浙闽赣,东区,浙江
13,佛山市,华南,南区,广东
14,昆明市,西南,西区,云南
15,武汉市,湘鄂,南区,湖北
16,深圳市,华南,南区,广东
17,石家庄市,华北,北区,河北
18,金华市,浙闽赣,东区,浙江
19,宁波市,浙闽赣,东区,浙江
20,贵阳市,西南,西区,贵州
21,邯郸市,华北,北区,河北
22,北京市,华北,北区,北京
23,青岛市,鲁豫,东区,山东
24,沧州市,华北,北区,河北
25,太原市,华北,北区,山西
26,合肥市,苏皖沪,东区,安徽
27,无锡市,苏皖沪,东区,江苏
28,济南市,鲁豫,东区,山东
29,南阳市,鲁豫,东区,河南
30,临沂市,鲁豫,东区,山东
31,台州市,浙闽赣,东区,浙江
32,南京市,苏皖沪,东区,江苏
33,长春市,东北,北区,吉林
34,哈尔滨市,东北,北区,黑龙江
35,惠州市,华南,南区,广东
36,绍兴市,浙闽赣,东区,浙江
37,廊坊市,华北,北区,河北
38,天津市,华北,北区,天津市
39,中山市,华南,南区,广东
40,徐州市,苏皖沪,东区,江苏
41,商丘市,鲁豫,东区,河南
42,洛阳市,鲁豫,东区,河南
43,南通市,苏皖沪,东区,江苏
44,嘉兴市,浙闽赣,东区,浙江
45,乌鲁木齐市,西北,西区,新疆
46,南宁市,华南,南区,广西
47,唐山市,华北,北区,河北
48,潍坊市,鲁豫,东区,山东
49,呼和浩特市,华北,北区,蒙西
50,赣州市,浙闽赣,南区,江西
51,泉州市,浙闽赣,南区,福建
52,常州市,苏皖沪,东区,江苏
53,南昌市,浙闽赣,南区,江西
54,沈阳市,东北,北区,辽宁
55,阜阳市,苏皖沪,东区,安徽
56,菏泽市,鲁豫,东区,山东
57,烟台市,鲁豫,东区,山东
58,襄阳市,湘鄂,南区,湖北
59,绵阳市,西南,西区,四川
60,周口市,鲁豫,东区,河南
61,邢台市,华北,北区,河北
62,兰州市,西北,西区,甘肃
63,安阳市,鲁豫,东区,河南
64,驻马店市,鲁豫,东区,河南
65,遵义市,西南,西区,贵州
66,许昌市,鲁豫,东区,河南
67,银川市,西北,西区,宁夏
68,新乡市,鲁豫,东区,河南
69,济宁市,鲁豫,东区,山东
70,福州市,浙闽赣,南区,福建
71,平顶山市,鲁豫,东区,河南
72,常德市,湘鄂,南区,湖南
73,盐城市,苏皖沪,东区,江苏
74,九江市,浙闽赣,南区,江西
75,信阳市,鲁豫,东区,河南
76,安庆市,苏皖沪,东区,安徽
77,宜春市,浙闽赣,南区,江西
78,宜昌市,湘鄂,南区,湖北
79,厦门市,浙闽赣,南区,福建
80,海口市,华南,南区,海南
81,南充市,西南,西区,四川
82,宿迁市,苏皖沪,东区,江苏
83,淮安市,苏皖沪,东区,江苏
84,大连市,东北,北区,辽宁
85,张家口市,华北,北区,河北
86,上饶市,浙闽赣,南区,江西
87,衡阳市,湘鄂,南区,湖南
88,六安市,苏皖沪,东区,安徽
89,包头市,华北,北区,蒙西
90,邵阳市,湘鄂,南区,湖南
91,西宁市,西北,西区,青海
92,泰州市,苏皖沪,东区,江苏
93,曲靖市,西南,西区,云南
94,泰安市,鲁豫,东区,山东
95,衡水市,华北,北区,河北
96,宿州市,苏皖沪,东区,安徽
97,咸阳市,西北,西区,陕西
98,德阳市,西南,西区,四川
99,达州市,西南,西区,四川
100,岳阳市,湘鄂,南区,湖南
101,淄博市,鲁豫,东区,山东
102,江门市,华南,南区,广东
103,汉中市,西北,西区,陕西
104,连云港市,苏皖沪,东区,江苏
105,湖州市,浙闽赣,东区,浙江
106,黄冈市,湘鄂,南区,湖北
107,运城市,华北,北区,山西
108,柳州市,华南,南区,广西
109,宝鸡市,西北,西区,陕西
110,镇江市,苏皖沪,东区,江苏
111,德州市,鲁豫,东区,山东
112,桂林市,华南,南区,广西
113,荆州市,湘鄂,南区,湖北
114,扬州市,苏皖沪,东区,江苏
115,珠海市,华南,南区,广东
116,亳州市,苏皖沪,东区,安徽
117,开封市,鲁豫,东区,河南
118,吉安市,浙闽赣,南区,江西
119,渭南市,西北,西区,陕西
120,临汾市,华北,北区,山西
121,永州市,湘鄂,南区,湖南
122,汕头市,华南,南区,广东
123,聊城市,鲁豫,东区,山东
124,晋中市,华北,北区,山西
125,赤峰市,东北,北区,蒙东
126,郴州市,湘鄂,南区,湖南
127,益阳市,湘鄂,南区,湖南
128,芜湖市,苏皖沪,东区,安徽
129,恩施土家族苗族自治州,湘鄂,南区,湖北
130,焦作市,鲁豫,东区,河南
131,承德市,华北,北区,河北
132,怀化市,湘鄂,南区,湖南
133,毕节市,西南,西区,贵州
134,株洲市,湘鄂,南区,湖南
135,宜宾市,西南,西区,四川
136,大同市,华北,北区,山西
137,鄂尔多斯市,华北,北区,蒙西
138,漯河市,鲁豫,东区,河南
139,乐山市,西南,西区,四川
140,泸州市,西南,西区,四川
141,濮阳市,鲁豫,东区,河南
142,清远市,华南,南区,广东
143,黔西南布依族苗族自治州,西南,西区,贵州
144,大理白族自治州,西南,西区,云南
145,荆门市,湘鄂,南区,湖北
146,黔南布依族苗族自治州,西南,西区,贵州
147,孝感市,湘鄂,南区,湖北
148,广安市,西南,西区,四川
149,威海市,鲁豫,东区,山东
150,红河哈尼族彝族自治州,西南,西区,云南
151,娄底市,湘鄂,南区,湖南
152,滨州市,鲁豫,东区,山东
153,伊犁哈萨克自治州,西北,西区,新疆
154,滁州市,苏皖沪,东区,安徽
155,湛江市,华南,南区,广东
156,大庆市,东北,北区,黑龙江
157,黔东南苗族侗族自治州,西南,西区,贵州
158,蚌埠市,苏皖沪,东区,安徽
159,宣城市,苏皖沪,东区,安徽
160,遂宁市,西南,西区,四川
161,肇庆市,华南,南区,广东
162,长治市,华北,北区,山西
163,铜仁市,西南,西区,贵州
164,十堰市,湘鄂,南区,湖北
165,广元市,西南,西区,四川
166,阿克苏地区,西北,西区,新疆
167,榆林市,西北,西区,陕西
168,湖北省省直辖,湘鄂,南区,湖北
169,韶关市,华南,南区,广东
170,衢州市,浙闽赣,东区,浙江
171,庆阳市,西北,西区,甘肃
172,日照市,鲁豫,东区,山东
173,眉山市,西南,西区,四川
174,莆田市,浙闽赣,南区,福建
175,吉林市,东北,北区,吉林
176,丽水市,浙闽赣,东区,浙江
177,茂名市,华南,南区,广东
178,黄石市,湘鄂,南区,湖北
179,武威市,西北,西区,甘肃
180,枣庄市,鲁豫,东区,山东
181,抚州市,浙闽赣,南区,江西
182,延边朝鲜族自治州,东北,北区,吉林
183,河源市,华南,南区,广东
184,巴彦淖尔市,华北,北区,蒙西
185,楚雄彝族自治州,西南,西区,云南
186,平凉市,西北,西区,甘肃
187,鹤壁市,鲁豫,东区,河南
188,张掖市,西北,西区,甘肃
189,巴中市,西南,西区,四川
190,文山壮族苗族自治州,西南,西区,云南
191,安顺市,西南,西区,贵州
192,马鞍山市,苏皖沪,东区,安徽
193,凉山彝族自治州,西南,西区,四川
194,鞍山市,东北,北区,辽宁
195,黄山市,苏皖沪,东区,安徽
196,巴音郭楞蒙古自治州,西北,西区,新疆
197,六盘水市,西南,西区,贵州
198,淮南市,苏皖沪,东区,安徽
199,延安市,西北,西区,陕西
200,漳州市,浙闽赣,南区,福建
201,呼伦贝尔市,东北,北区,蒙东
202,玉溪市,西南,西区,云南
203,齐齐哈尔市,东北,北区,黑龙江
204,秦皇岛市,华北,北区,河北
205,乌兰察布市,华北,北区,蒙西
206,晋城市,华北,北区,山西
207,东营市,鲁豫,东区,山东
208,淮北市,苏皖沪,东区,安徽
209,咸宁市,湘鄂,南区,湖北
210,内江市,西南,西区,四川
211,湘潭市,湘鄂,南区,湖南
212,普洱市,西南,西区,云南
213,湘西土家族苗族自治州,湘鄂,南区,湖南
214,通辽市,东北,北区,蒙东
215,自贡市,西南,西区,四川
216,松原市,东北,北区,吉林
217,贵港市,华南,南区,广西
218,朔州市,华北,北区,山西
219,百色市,华南,南区,广西
220,揭阳市,华南,南区,广东
221,昭通市,西南,西区,云南
222,三门峡市,鲁豫,东区,河南
223,酒泉市,西北,西区,甘肃
224,张家界市,湘鄂,南区,湖南
225,保山市,西南,西区,云南
226,玉林市,华南,南区,广西
227,梅州市,华南,南区,广东
228,乌海市,华北,北区,蒙西
229,资阳市,西南,西区,四川
230,天水市,西北,西区,甘肃
231,拉萨市,西南,西区,西藏
232,攀枝花市,西南,西区,四川
233,通化市,东北,北区,吉林
234,锡林郭勒盟,华北,北区,蒙西
235,随州市,湘鄂,南区,湖北
236,萍乡市,浙闽赣,南区,江西
237,朝阳市,东北,北区,辽宁
238,吕梁市,华北,北区,山西
239,佳木斯市,东北,北区,黑龙江
240,忻州市,华北,北区,山西
241,池州市,苏皖沪,东区,安徽
242,牡丹江市,东北,北区,黑龙江
243,三亚市,华南,南区,海南
244,宁德市,浙闽赣,南区,福建
245,白银市,西北,西区,甘肃
246,潮州市,华南,南区,广东
247,丽江市,西南,西区,云南
248,定西市,西北,西区,甘肃
249,龙岩市,浙闽赣,南区,福建
250,南平市,浙闽赣,南区,福建
251,三明市,浙闽赣,南区,福建
252,喀什地区,西北,西区,新疆
253,西双版纳傣族自治州,西南,西区,云南
254,雅安市,西南,西区,四川
255,阳江市,华南,南区,广东
256,新余市,浙闽赣,南区,江西
257,景德镇市,浙闽赣,南区,江西
258,梧州市,华南,南区,广西
259,阳泉市,华北,北区,山西
260,临沧市,西南,西区,云南
261,安康市,西北,西区,陕西
262,四平市,东北,北区,吉林
263,昌吉回族自治州,西北,西区,新疆
264,钦州市,华南,南区,广西
265,河南省省直辖,鲁豫,东区,河南
266,鹰潭市,浙闽赣,南区,江西
267,河池市,华南,南区,广西
268,贺州市,华南,南区,广西
269,德宏傣族景颇族自治州,西南,西区,云南
270,铁岭市,东北,北区,辽宁
271,营口市,东北,北区,辽宁
272,抚顺市,东北,北区,辽宁
273,丹东市,东北,北区,辽宁
274,白城市,东北,北区,吉林
275,绥化市,东北,北区,黑龙江
276,北海市,华南,南区,广西
277,铜陵市,苏皖沪,东区,安徽
278,陇南市,西北,西区,甘肃
279,锦州市,东北,北区,辽宁
280,新疆自治区直辖,西北,西区,新疆
281,葫芦岛市,东北,北区,辽宁
282,中卫市,西北,西区,宁夏
283,商洛市,西北,西区,陕西
284,舟山市,浙闽赣,东区,浙江
285,莱芜市,鲁豫,东区,山东
286,云浮市,华南,南区,广东
287,兴安盟,东北,北区,蒙东
288,白山市,东北,北区,吉林
289,辽阳市,东北,北区,辽宁
290,吴忠市,西北,西区,宁夏
291,哈密地区,西北,西区,新疆
292,铜川市,西北,西区,陕西
293,汕尾市,华南,南区,广东
294,盘锦市,东北,北区,辽宁
295,阜新市,东北,北区,辽宁
296,鄂州市,湘鄂,南区,湖北
297,七台河市,东北,北区,黑龙江
298,金昌市,西北,西区,甘肃
299,石嘴山市,西北,西区,宁夏
300,来宾市,华南,南区,广西
301,黑河市,东北,北区,黑龙江
302,固原市,西北,西区,宁夏
303,双鸭山市,东北,北区,黑龙江
304,阿勒泰地区,西北,西区,新疆
305,嘉峪关市,西北,西区,甘肃
306,塔城地区,西北,西区,新疆
307,克拉玛依市,西北,西区,新疆
308,海南省省直辖,华南,南区,海南
309,博尔塔拉蒙古自治州,西北,西区,新疆
310,鸡西市,东北,北区,黑龙江
311,海东地区,西北,西区,青海
312,防城港市,华南,南区,广西
313,临夏回族自治州,西北,西区,甘肃
314,海西蒙古族藏族自治州,西北,西区,青海
315,阿拉善盟,华北,北区,蒙西
316,辽源市,东北,北区,吉林
317,阿坝藏族羌族自治州,西南,西区,四川
318,崇左市,华南,南区,广西
319,本溪市,东北,北区,辽宁
320,鹤岗市,东北,北区,黑龙江
321,伊春市,东北,北区,黑龙江
322,和田地区,西北,西区,新疆
323,大兴安岭地区,东北,北区,黑龙江
324,迪庆藏族自治州,西南,西区,云南
325,日喀则地区,西南,西区,西藏
326,怒江傈僳族自治州,西南,西区,云南
327,山南地区,西南,西区,西藏
328,甘南藏族自治州,西北,西区,甘肃
329,吐鲁番地区,西北,西区,新疆
330,甘孜藏族自治州,西南,西区,四川
331,林芝地区,西南,西区,西藏
332,昌都地区,西南,西区,西藏
333,海南藏族自治州,西北,西区,青海
334,海北藏族自治州,西北,西区,青海
335,那曲地区,西南,西区,西藏
336,阿里地区,西南,西区,西藏
337,克孜勒苏柯尔克孜自治州,西北,西区,新疆
338,玉树藏族自治州,西北,西区,青海
339,黄南藏族自治州,西北,西区,青海
340,三沙市,华南,南区,海南
